Name of the School,Candidates Registerd,Candidates Appeared,Distin-ction,Grade I,Grade II,Pass Grade,Total Pass,Pass Percent,Year
"HON.DADA JADHAVRAO VIDYA, OLD JEJURI, TQ.PURANDAR",18,18,2,7,4,3,16,88.88,2025
"HUTATMA UMAJI NAIK H.SCH, A/P BHIWADI, TQ.PURANDAR",28,28,9,11,7,0,27,96.42,2025
"RISE PISE MADHYAMIK VIDYALAYA, RISE, TQ.PURANDAR",18,18,10,6,1,1,18,100.0,2025
"SADGURU SHREE NARAYAN MAHARAJ MADHY.VID,NARAYANPUR",25,25,3,11,8,2,24,96.0,2025
"RAJE SHIVRAYA VIDAYALAYA, PANAWADI, TQ.PURANDAR",13,13,0,2,5,5,12,92.3,2025
"SHRI.B.S.KAKADE (DESHMUKH) VIDYALAYA, PIMPRE(KD)",51,51,11,17,18,5,51,100.0,2025
"GURUWARYA NARAYAN MAHARAJ MADHYA.VIDYALAYA, HIVRE",39,39,17,14,7,0,38,97.43,2025
"WAGHESHWARI MADHYA.VIDYALAYA, PINGORI, TQ.PURANDAR",11,11,2,6,3,0,11,100.0,2025
"RAJURI MADHYAMIK VIDYALAYA, RAJURI, TQ.PURANDAR",19,19,9,8,2,0,19,100.0,2025
"SHRI.SADGURU KANIFNATH MADHYAMIK VIDYALAYA,BOPGAON",26,26,13,9,4,0,26,100.0,2025
"SHIVAJI ENGLISH MEDIUM SCHOOL, SASWAD, TQ.PURANDAR",111,111,80,26,5,0,111,100.0,2025
"SHREE SANT SOPANKAKA HSCHL,SASWAD,TA PURANDAR,PUNE",96,96,41,25,29,0,95,98.95,2025
"PURANDAR PUBLIC SCHOOL,JEJURI,PUNE",44,44,20,19,5,0,44,100.0,2025
"GURUKUL ENGLISH MEDIUM SCHOOL, PURANDHAR, PUNE",8,8,6,2,0,0,8,100.0,2025
ANU.JATI VA NAVBHUDHA MULANCHI SHASAKIYA NIWASI SC,16,16,1,5,9,1,16,100.0,2025
"JIJAMATA ENGLISH MEDIUM HIGH SCHOOL,PURANDHAR,PUNE",31,31,16,13,1,1,31,100.0,2025
"SHARADA ENGLISH MEDIUM SCHOOL, WAGHAPUR",11,11,8,3,0,0,11,100.0,2025
